clade_name	ERR479190.txt_reads_count	ERR479384.txt_reads_count	ERR479182.txt_reads_count	ERR479306.txt_reads_count	ERR479136.txt_reads_count	ERR479098.txt_reads_count	ERR479202.txt_reads_count	ERR479382.txt_reads_count	ERR479070.txt_reads_count	ERR479227.txt_reads_count	ERR479013.txt_reads_count	ERR479233.txt_reads_count	ERR479330.txt_reads_count	ERR479383.txt_reads_count	ERR479301.txt_reads_count	ERR479088.txt_reads_count	ERR479327.txt_reads_count	ERR479232.txt_reads_count	ERR479106.txt_reads_count	ERR479161.txt_reads_count	ERR479104.txt_reads_count	ERR479007.txt_reads_count	ERR479344.txt_reads_count	ERR479086.txt_reads_count	ERR479208.txt_reads_count	ERR479085.txt_reads_count	ERR479006.txt_reads_count	ERR479122.txt_reads_count	ERR479307.txt_reads_count	ERR479281.txt_reads_count	ERR479304.txt_reads_count	ERR479364.txt_reads_count	ERR479299.txt_reads_count	ERR479075.txt_reads_count	ERR479191.txt_reads_count	ERR479207.txt_reads_count	ERR479347.txt_reads_count	ERR479189.txt_reads_count	ERR479181.txt_reads_count	ERR479076.txt_reads_count	ERR479239.txt_reads_count	ERR479067.txt_reads_count	ERR479162.txt_reads_count	ERR479230.txt_reads_count	ERR479069.txt_reads_count	ERR479008.txt_reads_count	ERR479343.txt_reads_count	ERR479238.txt_reads_count	ERR479280.txt_reads_count	ERR479218.txt_reads_count	ERR479362.txt_reads_count	ERR479363.txt_reads_count	ERR479282.txt_reads_count	ERR479187.txt_reads_count	ERR479009.txt_reads_count	ERR479228.txt_reads_count	ERR479298.txt_reads_count	ERR479231.txt_reads_count	ERR479300.txt_reads_count	ERR479240.txt_reads_count	ERR479103.txt_reads_count	ERR479229.txt_reads_count	ERR479068.txt_reads_count	ERR479217.txt_reads_count	ERR479386.txt_reads_count	ERR479097.txt_reads_count	ERR479012.txt_reads_count	ERR479385.txt_reads_count	ERR479105.txt_reads_count	ERR479250.txt_reads_count	ERR479345.txt_reads_count	ERR479188.txt_reads_count	ERR479089.txt_reads_count	ERR479234.txt_reads_count	ERR479137.txt_reads_count	ERR479365.txt_reads_count	ERR479192.txt_reads_count	ERR479283.txt_reads_count	ERR479249.txt_reads_count	ERR478999.txt_reads_count	ERR479087.txt_reads_count	ERR479328.txt_reads_count	ERR479058.txt_reads_count	ERR479305.txt_reads_count	ERR479346.txt_reads_count	ERR479164.txt_reads_count	ERR479090.txt_reads_count	ERR479163.txt_reads_count	ERR479201.txt_reads_count	ERR479057.txt_reads_count	ERR479123.txt_reads_count	ERR479329.txt_reads_count
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	70790.0	4312.0				224814.0		21106.0			10628.0	2740.0		22474.0	129300.0	280.0	4585092.0	1000.0	216458.0		226636.0											4310.0	132768.0		8422.0			814.0					9072.0							212694.0	2256.0	2202.0		1082.0			621592.0	2810.0	90636.0		218564.0			218406.0	1452.0	224612.0	7896.0	2064.0	239902.0			478.0	584.0	978.0		2630.0	69772.0			73460.0		4675404.0	3590.0			5334.0	9368.0	4852.0		6472.0		
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_SGB6371	1812.0		19990.0	710.0																									106.0		158.0								17192.0																		13858.0																				2540.0															
k__Bacteria|p__Actinobacteria|c__CFGB12107|o__OFGB12107|f__FGB12107|g__GGB34797|s__GGB34797_SGB14322	12990.0			43010.0							1978.0				64672.0				50562.0										30840.0	72736.0	41228.0	6902.0	73424.0																67218.0		10052.0	2760.0	68540.0				165274.0		42426.0								692.0		32670.0							9194.0	8292.0	84372.0						35000.0			5700.0					
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_SGB14861	1828.0	51804.0	90538.0	100986.0	18960.0	90412.0		4686.0	156304.0		42094.0	23488.0		4990.0	34038.0	2988.0	92584.0	22526.0	78586.0		4384.0	12178.0	76238.0		18994.0		12956.0	20704.0	86602.0	23988.0	102444.0	5262.0	32866.0			22854.0	101602.0	21102.0	83302.0			115718.0			150166.0	13820.0	88084.0	7956.0	23226.0	47176.0	4934.0	5184.0	22984.0	35010.0	13612.0		39290.0	25870.0	20866.0	4794.0	4522.0		151074.0	52096.0	31444.0	91022.0	48130.0	47078.0	86022.0		376866.0	35560.0	2760.0	25444.0	16364.0	6738.0	1944.0	25188.0		16304.0	864.0	87660.0		91928.0	100478.0		33764.0				13842.0	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_SGB15196	6432.0														1516.0				22548.0		14438.0				27632.0								1966.0			30328.0														4294.0							9400.0		220.0		15372.0			4972.0				122.0	22998.0		6354.0						3744.0															
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens	6828.0	21206.0		99420.0	15458.0	30338.0	1669578.0	271892.0			126048.0	150850.0	105526.0	251182.0	452658.0	616.0	334022.0	132094.0	74500.0		29422.0		20104.0		15646.0			9436.0	86080.0	2168.0	106026.0	31516.0	471128.0	253954.0		19692.0		21410.0		260490.0			83468.0				20594.0	4990.0	2994.0		35690.0	28324.0	3042.0	36514.0			154986.0	154030.0	253876.0	3232.0	24854.0				13216.0	30598.0	151434.0	20552.0	84066.0		108584.0	34422.0	230.0	154008.0	11892.0	35042.0	4426.0	3288.0		570.0		335728.0		96490.0		50138.0	16362.0	86836.0	1697644.0		10342.0	109472.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__GGB4687|s__GGB4687_SGB6484	78252.0																		6152.0																9108.0																																		5840.0								74578.0															
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__GGB9424|s__GGB9424_SGB14794	422.0																			78094.0	15564.0																																								16276.0																															
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Slackia|s__Slackia_isoflavoniconvertens	2318.0			12794.0		58214.0	34066.0		85824.0	10416.0	53264.0	27078.0				2110.0		22762.0	6164.0		11696.0				13672.0				8710.0		12364.0			108684.0		10010.0				100574.0		61780.0		9668.0	86266.0											14020.0	8088.0	19994.0			16684.0	13802.0	88152.0			65356.0	54066.0		2800.0				4072.0	22488.0			3336.0							12528.0			40542.0		34334.0			
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_SGB6263	228.0																																																																																											
