clade_name	ERR479038.txt_reads_count	ERR479147.txt_reads_count	ERR479310.txt_reads_count	ERR479277.txt_reads_count	ERR479055.txt_reads_count	ERR479308.txt_reads_count	ERR479309.txt_reads_count	ERR479010.txt_reads_count	ERR479223.txt_reads_count	ERR479178.txt_reads_count	ERR479148.txt_reads_count	ERR479318.txt_reads_count	ERR479221.txt_reads_count	ERR479357.txt_reads_count	ERR479243.txt_reads_count	ERR479278.txt_reads_count	ERR479026.txt_reads_count	ERR479127.txt_reads_count	ERR479083.txt_reads_count	ERR479246.txt_reads_count	ERR479253.txt_reads_count	ERR479194.txt_reads_count	ERR479077.txt_reads_count	ERR479139.txt_reads_count	ERR479276.txt_reads_count	ERR479066.txt_reads_count	ERR479255.txt_reads_count	ERR479247.txt_reads_count	ERR479390.txt_reads_count	ERR479285.txt_reads_count	ERR479028.txt_reads_count	ERR479219.txt_reads_count	ERR479252.txt_reads_count	ERR479417.txt_reads_count	ERR479302.txt_reads_count	ERR479356.txt_reads_count	ERR479138.txt_reads_count	ERR479311.txt_reads_count	ERR479358.txt_reads_count	ERR479222.txt_reads_count	ERR479113.txt_reads_count	ERR479256.txt_reads_count	ERR479354.txt_reads_count	ERR479193.txt_reads_count	ERR478985.txt_reads_count	ERR479416.txt_reads_count	ERR479199.txt_reads_count	ERR479149.txt_reads_count	ERR479053.txt_reads_count	ERR479054.txt_reads_count	ERR479292.txt_reads_count	ERR479332.txt_reads_count	ERR479359.txt_reads_count	ERR479032.txt_reads_count	ERR479258.txt_reads_count	ERR479348.txt_reads_count	ERR479031.txt_reads_count	ERR479125.txt_reads_count	ERR479361.txt_reads_count	ERR479237.txt_reads_count	ERR479331.txt_reads_count	ERR479351.txt_reads_count	ERR479284.txt_reads_count	ERR479025.txt_reads_count	ERR479334.txt_reads_count	ERR479112.txt_reads_count	ERR479180.txt_reads_count	ERR479303.txt_reads_count	ERR479116.txt_reads_count	ERR479065.txt_reads_count	ERR479024.txt_reads_count	ERR479353.txt_reads_count	ERR479126.txt_reads_count	ERR479177.txt_reads_count	ERR479254.txt_reads_count	ERR479352.txt_reads_count	ERR479111.txt_reads_count	ERR479200.txt_reads_count	ERR479173.txt_reads_count	ERR479245.txt_reads_count	ERR478969.txt_reads_count	ERR479030.txt_reads_count	ERR479360.txt_reads_count	ERR479291.txt_reads_count	ERR479220.txt_reads_count	ERR479333.txt_reads_count	ERR479349.txt_reads_count	ERR479174.txt_reads_count	ERR479248.txt_reads_count	ERR479415.txt_reads_count	ERR479037.txt_reads_count	ERR479146.txt_reads_count	ERR479236.txt_reads_count	ERR479389.txt_reads_count	ERR479418.txt_reads_count	ERR479114.txt_reads_count	ERR478984.txt_reads_count	ERR479317.txt_reads_count	ERR479078.txt_reads_count	ERR479029.txt_reads_count	ERR479124.txt_reads_count	ERR479244.txt_reads_count	ERR479176.txt_reads_count	ERR479011.txt_reads_count	ERR479027.txt_reads_count	ERR479350.txt_reads_count	ERR479257.txt_reads_count	ERR479179.txt_reads_count	ERR479117.txt_reads_count	ERR479355.txt_reads_count	ERR479279.txt_reads_count	ERR479290.txt_reads_count	ERR479251.txt_reads_count	ERR479293.txt_reads_count	ERR479056.txt_reads_count	ERR479084.txt_reads_count	ERR479316.txt_reads_count	ERR479224.txt_reads_count	ERR479115.txt_reads_count	ERR479235.txt_reads_count
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_SGB17132	2388.0				246.0														1970.0																																																																								3828.0															400.0									746.0	1280.0				
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_ICM58	4730.0											11634.0							14446.0																																																																								8292.0							1486.0																		12150.0	1358.0			
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_ph3	490.0																																																																													298.0																															1128.0											
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Lancefieldella|s__Lancefieldella_parvula	2864.0				1472.0										9000.0			170.0																4384.0			332.0												428.0	624.0																				170.0																					3220.0				5302.0							8662.0							1696.0						996.0					
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Lancefieldella|s__Lancefieldella_rimae	386.0				1814.0																																												886.0	388.0																																									292.0																								1648.0					
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Paratractidigestivibacter|s__Paratractidigestivibacter_faecalis	308.0		2978.0			3582.0	3238.0	127832.0	432.0												9154.0		1990.0										17528.0					3804.0																																																					920.0								1252.0					138332.0									18938.0					180.0		
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_SGB4121	650.0	46738.0			25228.0			13950.0					1240.0		49062.0									11868.0			4136.0			59690.0		2070.0			23062.0		13974.0			3154.0	8722.0	1536.0	11024.0						41772.0	23570.0	3802.0	31752.0	4690.0	4740.0	5424.0		3382.0		2236.0		33510.0		65352.0		29964.0	12558.0		23684.0				12270.0			21818.0		8556.0		3820.0		1356.0	5032.0		6690.0	2326.0	34138.0		13388.0				42254.0				14338.0				5328.0		46648.0		20930.0			1862.0					362.0		4918.0	22008.0					
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_SGB5080	25040.0																																																																																										33516.0																													
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens	33916.0		151470.0	36766.0	151794.0	187450.0	194602.0	69314.0	78466.0			65728.0		64794.0	54542.0	38034.0		5812.0		158708.0	82868.0	23458.0	61312.0	95004.0	40910.0	78504.0		159866.0	29336.0	2178.0			154274.0	263332.0		26612.0	106556.0	205152.0	48754.0		25002.0			28088.0		2436.0			7740.0	6854.0						9164.0		5588.0		72950.0		102762.0	2432.0			29628.0			16292.0	82720.0			4540.0		211398.0	164674.0	29676.0		30208.0	136182.0							9684.0	44924.0	165136.0	3776.0	40768.0		138966.0	27668.0	404704.0	30466.0		21292.0	64622.0		5544.0	50418.0	10892.0	80594.0		56092.0			66084.0	29948.0	44102.0		172628.0		138672.0		18916.0	87138.0	16264.0	138984.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthella|s__Eggerthella_lenta	2676.0	40058.0								3838.0			17428.0						880940.0								20070.0			578.0		16464.0								12796.0	304.0	17396.0	384.0			932.0	109006.0				11064.0			44404.0	19768.0		31742.0						998.0			1248.0	5522.0							3478.0			1146.0	97682.0	6774.0			41324.0		9470.0	14094.0			12144.0		348.0	3836.0	33992.0				664.0				40720.0			290.0				16940.0	5240.0				13916.0		10564.0		851670.0				
