"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"1",46232,0,0,0,0,167830,0,47406,184030,0,224612,814,0,0,0,0,188652,0,0,0,0,0,110478,0,0,1338216,0,0,0,0,0,13040,0,0,0
"2",0,0,0,0,0,230280,0,189596,17410,0,92415.9999999999,0,0,0,3180,0,0,19464,0,0,0,0,284,0,12896,204956,0,0,2290,3814,18958,188400,0,5098,0
"3",113170,0,0,0,52949.9999999999,0,109204,364254,0,0,0,0,89266,0,0,0,0,0,0,0,18384,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,31444,5060,0,0,0,0,47078,0,12748,0,0,0,0,0,2680,0,0,0,0,0,0,0,0,0,0,0,0,32866,5490,0,0,0,0,0
"5",0,0,0,0,0,0,0,346,0,0,0,0,0,0,64026,694,0,3930,0,0,36902,30452,0,0,14654,0,0,0,686,0,0,0,0,1724,0
"6",0,0,0,43560,159444,0,0,0,0,0,3718,0,8044,10652,420,0,0,0,0,0,4086,0,86196,99716,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,40244,0,0,0,0,0,0,0,0,0,104002,2002,17184,0,0,26174,0,0,0,2032,3232,0,22620,0
"8",5210,0,0,0,0,0,0,0,0,6470,0,0,0,0,2490,1334,0,0,3434,0,0,0,0,0,0,0,0,0,0,0,6686,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12610,79430,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,13772,0,0,0,0,187384,0,3235640,0,0,0,1589028,0,0,0,0,0,1922156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,861896,0,0,35416,54468,0,0,0,0,0,0,936,0,0,0,0,0,0,0,55986,163704,21080,0,0,55694.0000000001,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,37816,0,0,0,0,0,0,0,0,0,9988,0,16756,0,0,0,733036,0,0,171688,0,0,18418,0,0,22242,37216,0,336950,0,0
"13",1668,3540,0,0,0,0,0,0,2246,0,0,0,0,7698,0,0,0,0,0,24550,0,0,0,109118,0,0,0,0,0,0,0,0,0,0,0
