"","ERR479322","ERR479324","ERR479392","ERR479150","ERR479158","ERR479268","ERR478996","ERR479052","ERR479404","ERR479321","ERR479205","ERR479195","ERR479325","ERR479393","ERR478974","ERR479082","ERR479102","ERR479326","ERR478992","ERR479034","ERR479033","ERR479381","ERR479288","ERR479064","ERR479408","ERR479265","ERR479129","ERR479203","ERR479130","ERR479413","ERR479287","ERR479297","ERR478964","ERR479206","ERR479204","ERR478975","ERR479323","ERR479414","ERR479091","ERR479379","ERR478960","ERR478997","ERR478990","ERR479263","ERR479109","ERR479017","ERR479394","ERR479272","ERR479159","ERR479003","ERR479016","ERR479045","ERR478959","ERR479289","ERR479264","ERR478962","ERR479341","ERR479267","ERR479134","ERR479157","ERR479000","ERR479401","ERR479110","ERR479274","ERR479378","ERR479275","ERR479063","ERR479197","ERR479099","ERR479043","ERR479286","ERR479296","ERR479198","ERR479342","ERR479294","ERR479131","ERR479135","ERR479196","ERR479133","ERR479081","ERR479014","ERR479079","ERR479015","ERR479035","ERR478995","ERR479167","ERR478965","ERR479271","ERR478966","ERR479269","ERR479403","ERR479152","ERR479036","ERR479080","ERR479168","ERR479108","ERR479339","ERR478991","ERR479391","ERR479047","ERR479320","ERR478961","ERR478958","ERR479107","ERR479048","ERR479092","ERR479319","ERR479041","ERR479001","ERR479160","ERR479046","ERR478963","ERR479101","ERR479405","ERR479340","ERR479402","ERR479380","ERR479407","ERR479050","ERR479270","ERR479295","ERR479002","ERR479273","ERR479132","ERR479042","ERR479153","ERR479128","ERR479051","ERR478967","ERR479406","ERR479100","ERR479266","ERR478993","ERR479049","ERR479044","ERR479190","ERR479384","ERR479182","ERR479306","ERR479136","ERR479098","ERR479202","ERR479382","ERR479070","ERR479227","ERR479013","ERR479233","ERR479330","ERR479383","ERR479301","ERR479088","ERR479327","ERR479232","ERR479106","ERR479161","ERR479104","ERR479007","ERR479344","ERR479086","ERR479208","ERR479085","ERR479006","ERR479122","ERR479307","ERR479281","ERR479304","ERR479364","ERR479299","ERR479075","ERR479191","ERR479207","ERR479347","ERR479189","ERR479181","ERR479076","ERR479239","ERR479067","ERR479162","ERR479230","ERR479069","ERR479008","ERR479343","ERR479238","ERR479280","ERR479218","ERR479362","ERR479363","ERR479282","ERR479187","ERR479009","ERR479228","ERR479298","ERR479231","ERR479300","ERR479240","ERR479103","ERR479229","ERR479068","ERR479217","ERR479386","ERR479097","ERR479012","ERR479385","ERR479105","ERR479250","ERR479345","ERR479188","ERR479089","ERR479234","ERR479137","ERR479365","ERR479192","ERR479283","ERR479249","ERR478999","ERR479087","ERR479328","ERR479058","ERR479305","ERR479346","ERR479164","ERR479090","ERR479163","ERR479201","ERR479057","ERR479123","ERR479329"
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum",0,0,0,0,0,2012,0,0,0,15624,0,193870,0,0,204992,0,0,0,0,0,0,38792,0,57092,0,0,0,0,4102,0,49874,0,2484,0,0,0,0,0,0,0,0,0,0,81740,0,131964,0,0,0,0,130228,0,0,0,0,0,0,0,0,0,0,85338.0000000001,0,0,36688,0,39410,0,23312,111504,49244,23312,0,20946,0,0,0,0,18594,0,0,0,0,0,0,0,0,0,2290,0,80794.0000000001,0,0,0,380,0,0,0,0,0,0,724578,0,0,0,0,0,0,50928,0,0,0,0,0,1832,0,0,0,0,22168,0,54120,0,19464,113228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204956,0,656,0,0,0,0,24530,0,0,0,0,0,3692,0,44,0,0,0,0,91311.9999999999,0,0,5480,0,0,574,0,0,0,0,0,0,0,0,0,0,0,2986,0,17410,0,0,0,0,0,0,0,0,0,1408,0,200634,0,0,0,0,0,0,0,93376,0,0,0,0,0,0,0,0,61736,0,0,0,0,198972,0,0,0,0,0,0,0,16412
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_SGB14861",0,0,0,10062,0,0,0,0,0,0,0,0,0,8792,0,0,0,0,7912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45724,1176,0,0,0,0,0,4996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33858,0,21080,0,0,0,0,0,0,145688,0,0,0,0,0,0,0,0,0,0,0,96060,0,0,0,4630,0,0,7360,2322,0,0,0,0,2784,0,0,0,0,0,0,103280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90412,0,0,0,0,0,0,0,0,34038,2988,0,0,78586,0,4384,0,0,0,18994,0,0,0,0,0,0,0,0,0,0,0,101602,0,83302,0,0,0,0,0,0,0,0,0,23226,0,0,0,0,0,0,0,0,0,0,4794,4522,0,151074,0,0,0,0,47078,86022,0,0,0,2760,0,16364,0,1944,0,0,0,0,0,0,0,100478,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae",302752,293258,0,0,0,0,0,0,0,297880,0,201698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589972,0,0,0,0,229724,0,0,62886,0,0,0,0,0,0,0,0,137054,0,14820,0,0,0,0,39568,0,0,0,102568,14018,0,3310,0,0,0,0,0,77756.0000000001,0,0,0,699972,0,0,0,0,12610,0,0,0,188572,0,0,102894,0,103852,0,0,0,0,0,0,0,0,0,0,0,0,129394,87684,0,191856,0,0,0,0,0,0,47802,0,63956,0,0,0,92208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411894,0,0,0,0,0,0,0,0,0,22466,0,0,64360,0,0,0,10274,944044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316830,0,23054,0,79616,0,0,0,0,0,0,0,0,0,0,0,0,52808,67128,15048,0,0,0,0,0,0,0,7514,0,0,0,0,0,10200,0,0,0,0,0,0,0,0,0,0,63658,0,850972,0,1281790,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus",0,0,0,0,0,0,845308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,1589028,0,0,0,0,0,0,0,0,0,0,0,0,0,854384,0,0,0,293758,0,0,0,0,0,0,0,7646,0,0,0,0,0,10310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,836936,0,0,0,0,0,0,0,0,0,0,0,52284.0000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63920,0,581302,0,0,0,0,0,0,0,0,252370,0,3476,159564,0,114,0,0,0,0,0,14638,0,0,0,0,0,0,0,23448,0,0,0,0,0,0,0,112134,0,0,324,0,0,2128,0,0,7432,0,0,0,0,0,0,0,0,0,0,0,0,21414,0,0,0,0,0,0,0,569448,2426,0,41152,0,0,0,0,0,0,0,0,0,0,0,3190,0,0,71377.9999999999,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus",122678,0,0,0,0,0,0,161086,0,0,0,981745.999999999,0,0,0,0,0,0,174558,0,0,0,0,0,0,0,0,0,0,0,0,0,168050,169928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630410,12864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13834,0,19452,36806,0,0,0,0,0,0,75381.9999999999,0,0,0,0,0,0,195730,0,0,0,0,0,286632,0,0,0,0,0,0,275558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150582,0,0,0,201270,0,0,0,0,0,0,0,0,0,250200,0,0,0,0,0,0,0,0,0,0,20644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162966,0,0,0,0,0,0,31452,0,3970,24694,0,0,0,0,0,247926,0,0,0,0,0,0,0,541362,0,0,5242,0,0,18068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20312,0,0,1130302,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron",105940,0,348638,132902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220204,0,63345.9999999999,0,0,0,0,0,95306,0,0,0,43454,0,0,0,0,0,0,16094,0,0,0,0,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106694,0,0,0,42294,0,0,0,0,910,0,0,0,0,0,138988,0,0,0,0,0,0,0,0,0,0,0,0,3756,0,0,0,0,0,0,41680,0,0,0,52120,0,0,0,0,0,27518,0,106288,0,0,14530,0,0,0,0,0,398012,0,0,0,0,0,238948,0,0,0,653856,17346,0,101272,0,0,0,0,0,0,0,0,0,13860,0,0,0,0,15652,0,136174,0,0,0,0,0,0,0,0,1043762,0,0,0,0,0,1325580,56938,0,0,0,0,116038,220146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97159.9999999999,140080,37888,186114,0,0,0,0,0,0,0,98454,147398,0,0,0,0,0,0,0,36340,0,0,1394,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis",0,0,236306,0,0,45376,0,0,0,0,0,382852,1731526,0,0,0,448574,2263422,0,0,1252354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,617186,60786,0,0,0,844828,0,0,0,0,0,0,0,239130,0,171536,0,0,0,0,0,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,500728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171888,0,0,0,239948,0,0,0,0,0,0,487896,0,0,0,0,0,0,451840,0,0,0,0,0,0,3432156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,786400,0,0,0,0,0,0,0,228914,0,0,0,1680066,0,0,0,94668,0,0,214074,0,0,113324,0,107406,301620,0,744512,0,0,0,0,0,0,477844,0,1344802,0,0,0,0,0,0,0,0,0,0,941752,0,453228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1102108,0,0,0,0,0,0,0,0,0,5499928,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494016,0,0,0,0,18080,0,0,0,0,0,0,4440,0,0,0,0,0,0,0,0,0,0,0,0,0,26042,0,0,0,0,0,0,0,0,21638,0,0,0,0,0,0,0,45822,0,0,0,0,0,1395518,0,0,0,0,0,0,0,14680,0,0,0,0,0,25758,0,0,0,0,0,0,0,0,0,0,0,0,40582,234238,0,0,0,0,0,0,46786,0,109764,0,0,0,0,0,162488,0,0,0,0,0,0,0,97897.9999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9194,0,409388,0,171762,0,0,0,0,0,0,0,0,0,0,1186,0,167112,0,0,0,8764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13422,0,0,0,0,0,0,0,85755.9999999999,0,15442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32688,3644,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_vulgatus",0,0,0,843008.000000001,0,0,0,0,0,2697340,0,0,1768788,0,0,0,0,0,0,2995950,0,40470,771878.000000001,0,85667.9999999999,0,0,0,0,0,759278,0,500966,0,1834222,648667.999999999,0,0,771338,0,0,0,0,493584,0,837158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,704182,928262,0,0,0,0,0,0,0,123496,917372,129740,0,0,1950342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,978448,0,1572624,0,0,0,0,0,0,670234,0,0,2573718,0,0,0,0,349892,0,0,0,0,53922,0,0,0,0,0,0,473050,0,0,2400670,0,0,0,0,0,0,0,0,0,0,0,0,1184524,0,749934,0,0,0,0,0,0,474650,0,0,0,89188,0,839194,0,0,0,0,821012,0,0,0,0,0,0,2282164,0,0,0,0,519740,0,0,0,0,0,0,0,862100.000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29918,0,0,1437994,0,817388,0,431416,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_intestinihominis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,215952,0,0,0,0,0,0,0,209378,0,23268,396110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208578,0,0,0,0,0,0,0,0,0,0,16328,0,0,44256,81120,0,211236,0,0,20588,0,0,0,0,0,21056,0,0,0,0,0,0,0,0,51352,0,0,0,0,0,0,96415.9999999999,219442,0,0,3184,0,0,0,0,0,0,0,0,0,0,4056,15700,0,0,171458,0,0,0,0,0,0,0,0,19594,282620,0,44904,0,0,22164,0,0,0,0,0,0,0,308964,0,0,0,0,67458.0000000001,0,33030,0,0,0,0,0,1864,0,10810,0,0,0,31300,42624,0,0,0,0,0,115878,0,128760,0,0,17452,0,0,0,0,0,0,0,0,0,0,0,0,0,60194,0,0,0,0,0,0,0,0,0,0,95232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter_splanchnicus",26744,0,0,0,0,0,0,108192,0,24578,88080,0,130846,53440,109658,0,0,0,0,0,0,0,53162,0,26546,0,0,0,0,0,53770,0,0,0,91854,0,0,0,0,22740,32084,0,0,224164,0,73902,0,0,0,0,0,0,33092,0,0,0,14678,0,40210,0,0,0,0,0,0,0,0,35476,0,0,0,0,0,16472,0,0,0,0,40640,0,0,0,70980.0000000001,0,0,0,0,0,0,11652,0,0,0,0,21706,0,0,0,0,0,0,0,0,0,0,48330,0,0,0,0,0,0,0,30076,0,0,0,0,0,0,0,0,0,0,0,0,0,112502,0,0,0,0,0,108650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37418,0,0,0,6066,0,0,0,13042,0,0,0,0,0,0,77373.9999999999,0,90508.0000000001,203940,0,111714,0,1142,0,0,0,0,0,5182,40098,105728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194822,0,45576,0,0,0,0,23902,125170,0,966,32820,1064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
