"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"1",257112,644742,3248,0,0,75577.9999999999,188676,79932,37128,0,817322,604892,3120,0,0,1474968,0,4340,168070,662,341398,35256,0,582358,0,1181068,105882,28830,353028,0,420450,0,0,0,2734
"2",0,0,63192,0,0,17724,0,0,0,7506,0,0,0,0,0,0,0,0,0,105210,6796,0,0,0,0,0,0,0,0,1614,0,4834,0,0,0
"3",0,85338.0000000001,0,0,0,0,0,0,0,0,0,35010,0,0,26600,0,39234,0,0,0,0,4102,0,0,1266,0,0,0,0,0,112542,0,0,50800,0
"4",0,0,253778,0,0,0,0,0,0,0,0,0,0,0,0,47148,70892.0000000001,0,13132,0,0,0,0,0,0,0,0,0,193074,98046,0,0,0,0,196312
"5",3082,27054,47478,0,0,7084,0,0,0,0,9430,0,0,0,0,0,0,0,0,0,30368,0,0,29840,0,0,0,0,0,0,0,316904,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43006,0,0,0,0,0,346,0,0,782,1100,0,0,0,0,0,0,0,2152,0
"7",100622,0,0,0,0,0,0,0,0,14702,0,76088.0000000001,22086,0,0,0,0,0,101862,0,0,0,0,0,0,3196,49034,0,0,0,21944,4540,0,0,0
"8",29212,0,0,10158,28618,11046,14094,0,0,0,0,578,3836,0,0,0,0,0,0,3226,40058,0,0,0,0,47578,6774,4312,104002,0,8548,12822,0,0,101348
"9",3814,74661.9999999999,0,0,20618,0,307438,0,0,17552,559200,187270,63956,0,1478982,36418,80129.9999999999,46400,0,0,126872,3626262,0,0,268068,5316,354912,0,0,0,176016,6706,256536,158932,3016
"10",24406,1922156,0,0,0,0,0,0,63456,0,0,0,52284.0000000001,0,0,0,473420,0,8354,0,149948,0,0,0,0,0,0,0,0,0,0,0,0,836936,0
"11",1131976,0,914972,0,0,0,115992,482,0,0,357036,0,0,0,57780,702,47746,159242,0,0,20250,0,0,0,0,4819324,9616,1084932,570150,0,834,350644,21046,430280,0
"12",1350762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347904,0,0,0,0,0,0,0,0,276696,5600,0,154724,0,0,0,0
"13",0,0,0,0,3810,0,4270,0,582,0,0,0,0,0,0,0,0,216384,0,10752,0,0,17840,0,0,9342,40792,57268,0,0,0,98766,0,64915.9999999999,706028
"14",0,2222,0,0,0,0,0,0,0,0,0,539260,891434.000000001,0,0,0,0,0,0,0,0,0,0,0,12908,0,0,0,3002,0,0,13776,0,0,0
"15",193866,0,0,5880104,0,0,0,847742,0,0,0,0,0,0,0,0,636608,0,0,2387216,0,0,0,0,0,0,5952434,0,0,0,0,0,0,0,72562
"16",69898,0,3682980,0,0,317862,0,0,0,217878,1097706,3859202,154720,0,60786,0,0,45376,362976,0,407564,0,14042,0,296308,1904088,0,0,0,0,1295642,18851426,824229.999999999,0,0
"17",871762,0,0,3894,0,267612,32170,8388,0,7070,177828,0,0,26042,0,12492,0,9098,0,0,0,0,0,0,0,0,0,8566,3870,0,6502,0,36330,0,21638
"18",2085806,0,0,97375.9999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1921812,0,0,0,0,0,0,353328,0,0,1522864
"19",0,0,0,0,0,0,0,0,369844,80170.0000000001,155326,0,0,0,0,0,0,0,0,31286,0,0,171458,86669.9999999999,487852,0,0,0,396110,0,0,0,19336,0,281294
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,3152,0,0,0,127660,0,45896,0,0,0,0,1182,0,1104794,0,0,0,15634,0,0,0,0
"21",0,0,0,24096,0,0,0,0,182646,0,36392,45116,0,50506,0,0,0,0,0,0,39214,0,0,0,0,0,0,0,0,32090,0,0,14114,130180,191292
"22",0,0,0,0,35344,0,22844,0,0,0,0,0,0,0,0,0,0,102266,0,0,0,0,0,0,104070,229528,0,0,0,0,0,0,0,0,0
"23",0,0,3578,0,0,0,0,0,660336,0,0,24860,58972,0,0,0,0,0,0,0,0,8448,0,0,0,0,0,32990,0,0,0,52868,0,0,0
"24",121152,238422,0,433802,1101042,206892,189968,42982,430160,52,607170,352252,1890,203390,13964,0,213574,852262,428068,201804,0,2090,0,478728,714,0,308,425976,0,0,1092878,0,657988,38724,39028
"25",0,0,0,980,1632,0,0,0,0,0,772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008,0
"26",0,0,0,0,0,0,219078,0,0,0,0,968444,24400,0,0,8526,0,0,0,0,0,0,0,389996,61227.9999999999,0,0,0,0,0,0,0,0,0,0
"27",0,0,0,9572,0,12694,0,0,0,0,4022,0,0,7186,0,103890,2800,0,30762,0,0,0,46364,0,0,0,0,0,0,3664,0,0,12242,0,0
"28",0,0,16330,0,0,0,0,0,0,0,0,0,0,854,0,0,0,0,3704,1304,0,4650,0,0,5242,0,0,0,0,0,0,0,0,34622,0
"29",0,413090,0,101354,0,980,0,92868,984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18876,0,0,0,0,4078,0,0,0,92691.9999999999,112860,0
"30",0,0,0,0,0,3720,1366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30810,0,0,0,0,0,2896,0,0
"31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3596,0,0,0,0,240,0,0,0,0,0,0,0,0,0
"32",0,0,4038,0,17410,5360,0,26600,3166,1388,0,0,1078,3700,0,0,0,5572,8602,0,3178,11156,0,8578,0,0,0,12182,0,8152,4148,9639.99999999999,0,8196,810
"33",0,0,0,72509.9999999999,0,0,0,0,0,0,17752,0,0,0,0,9290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5404,0,0,0,3458
