"","ERR479322","ERR479324","ERR479392","ERR479150","ERR479158","ERR479268","ERR478996","ERR479052","ERR479404","ERR479321","ERR479205","ERR479195","ERR479325","ERR479393","ERR478974","ERR479082","ERR479102","ERR479326","ERR478992","ERR479034","ERR479033","ERR479381","ERR479288","ERR479064","ERR479408","ERR479265","ERR479129","ERR479203","ERR479130","ERR479413","ERR479287","ERR479297","ERR478964","ERR479206","ERR479204","ERR478975","ERR479323","ERR479414","ERR479091","ERR479379","ERR478960","ERR478997","ERR478990","ERR479263","ERR479109","ERR479017","ERR479394","ERR479272","ERR479159","ERR479003","ERR479016","ERR479045","ERR478959","ERR479289","ERR479264","ERR478962","ERR479341","ERR479267","ERR479134","ERR479157","ERR479000","ERR479401","ERR479110","ERR479274","ERR479378","ERR479275","ERR479063","ERR479197","ERR479099","ERR479043","ERR479286","ERR479296","ERR479198","ERR479342","ERR479294","ERR479131","ERR479135","ERR479196","ERR479133","ERR479081","ERR479014","ERR479079","ERR479015","ERR479035","ERR478995","ERR479167","ERR478965","ERR479271","ERR478966","ERR479269","ERR479403","ERR479152","ERR479036","ERR479080","ERR479168","ERR479108","ERR479339","ERR478991","ERR479391","ERR479047","ERR479320","ERR478961","ERR478958","ERR479107","ERR479048","ERR479092","ERR479319","ERR479041","ERR479001","ERR479160","ERR479046","ERR478963","ERR479101","ERR479405","ERR479340","ERR479402","ERR479380","ERR479407","ERR479050","ERR479270","ERR479295","ERR479002","ERR479273","ERR479132","ERR479042","ERR479153","ERR479128","ERR479051","ERR478967","ERR479406","ERR479100","ERR479266","ERR478993","ERR479049","ERR479044","ERR479038","ERR479147","ERR479310","ERR479277","ERR479055","ERR479308","ERR479309","ERR479010","ERR479223","ERR479178","ERR479148","ERR479318","ERR479221","ERR479357","ERR479243","ERR479278","ERR479026","ERR479127","ERR479083","ERR479246","ERR479253","ERR479194","ERR479077","ERR479139","ERR479276","ERR479066","ERR479255","ERR479247","ERR479390","ERR479285","ERR479028","ERR479219","ERR479252","ERR479417","ERR479302","ERR479356","ERR479138","ERR479311","ERR479358","ERR479222","ERR479113","ERR479256","ERR479354","ERR479193","ERR478985","ERR479416","ERR479199","ERR479149","ERR479053","ERR479054","ERR479292","ERR479332","ERR479359","ERR479032","ERR479258","ERR479348","ERR479031","ERR479125","ERR479361","ERR479237","ERR479331","ERR479351","ERR479284","ERR479025","ERR479334","ERR479112","ERR479180","ERR479303","ERR479116","ERR479065","ERR479024","ERR479353","ERR479126","ERR479177","ERR479254","ERR479352","ERR479111","ERR479200","ERR479173","ERR479245","ERR478969","ERR479030","ERR479360","ERR479291","ERR479220","ERR479333","ERR479349","ERR479174","ERR479248","ERR479415","ERR479037","ERR479146","ERR479236","ERR479389","ERR479418","ERR479114","ERR478984","ERR479317","ERR479078","ERR479029","ERR479124","ERR479244","ERR479176","ERR479011","ERR479027","ERR479350","ERR479257","ERR479179","ERR479117","ERR479355","ERR479279","ERR479290","ERR479251","ERR479293","ERR479056","ERR479084","ERR479316","ERR479224","ERR479115","ERR479235"
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum",0,0,0,0,0,0,0,0,0,0,0,193870,0,0,204992,1510,0,0,0,0,0,38792,51090,0,0,0,0,0,0,210,0,0,0,0,0,187868,0,0,88,0,694457.999999999,0,0,0,0,0,0,17050,0,0,0,0,712220,0,85661.9999999999,0,20978,0,0,0,0,0,0,0,0,0,0,189596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,866,0,0,0,0,80794.0000000001,0,0,1576,380,0,0,39234,0,0,0,0,0,0,0,0,0,0,50928,0,0,0,0,0,1832,0,0,0,0,0,0,0,0,0,0,714798,0,0,0,0,0,0,38016,0,0,0,0,0,0,0,0,0,0,67676,0,0,0,47658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28056,0,0,0,0,0,0,0,0,0,0,0,0,43310,0,0,29968,0,0,0,0,0,0,0,0,36644,0,0,2706,0,0,0,0,0,23712,0,0,0,0,0,0,0,0,23320,0,0,0,0,0,0,0,0,0,0,0,32950,0,0,0,0,0,0,54708.0000000001,0,0,0,0,104498,0,0,0,0,210,0,0,0,0,0,2398,7094
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_SGB14861",0,0,0,0,0,0,0,0,0,47478,0,0,0,0,21906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9120,0,0,0,0,0,0,30688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96060,0,0,0,4630,0,0,7360,0,0,0,0,0,0,0,1260,7980,0,0,0,0,0,0,0,2680,0,0,0,0,0,0,0,0,0,0,0,222596,0,2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16122,21082,0,0,0,0,0,0,0,0,6780,58878,0,0,0,0,0,0,0,34422,0,0,10806,0,9430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146094,0,0,0,14646,17360,3242,0,0,0,0,0,0,148634,0,0,0,176,0,0,0,4332,0,387264,0,0,0,0,0,4378,0,0,0,0,0,0,0,118486,1740,0,0,0,0,0,0,0,5968,0,21192,3766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae",302752,0,0,169276,0,0,0,0,0,297880,0,0,0,0,66710,0,328888,0,0,0,0,0,0,0,62440.0000000001,0,45838,0,0,0,0,0,229724,0,0,0,293424,0,52838,0,0,0,0,0,0,93074.0000000001,0,0,0,0,99704,39568,0,0,0,0,0,0,0,0,268068,0,0,12152,77756.0000000001,0,0,0,699972,0,0,0,0,12610,0,41094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76472,0,0,0,0,0,63956,0,0,0,92208,0,0,73810,0,0,0,413700,329744,0,0,0,0,0,0,42976,411786,217406,0,0,0,0,0,0,0,0,0,0,0,0,0,897110,0,46400,0,227836,0,0,0,0,0,0,0,0,10998,0,0,0,242952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246778,0,0,0,0,0,0,0,0,0,0,187270,0,173820,0,330980,0,0,0,0,0,0,0,0,0,0,51052,0,0,0,0,76343.9999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,155980,354912,0,0,0,0,0,0,0,0,0,0,0,0,158932,0,203820,0,0,0,1022176,0,0,0,0,0,0,0,0,0,0,0,0,0,122130
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis",0,290344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960830,0,0,0,0,38392,0,0,0,0,0,0,0,183472,71920.0000000001,0,0,292066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,854,0,0,0,0,0,0,0,0,0,0,0,0,364578,187998,0,7950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5236,0,0,31646,0,0,323866,0,0,0,0,12664,0,0,0,0,0,11728,0,0,0,0,0,0,0,0,0,90489.9999999999,87410,0,0,0,0,0,0,0,0,0,0,0,0,0,154724,0,0,0,0,0,0,0,0,0,431362,0,0,0,0,0,0,397018,0,0,0,344710,0,0,0,0,0,0,0,0,0,0,0,0,217612,0,0,0,0,0,0,0,165088,278674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25538,252272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441988,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus",0,0,21920,0,0,0,0,0,0,121530,0,0,0,0,0,0,0,0,174558,0,0,0,377342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321522,0,0,0,320584,0,0,0,0,0,0,0,0,346052,45736,0,0,0,0,0,0,0,313514,0,0,8994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4548,0,156908,0,0,0,0,427376,0,0,34138,0,0,195730,0,0,0,0,0,0,0,0,0,0,9854,0,0,94722,230044,0,0,0,0,0,0,400482,0,0,0,0,0,0,0,0,0,0,0,0,201270,0,0,191816,0,0,0,44250,0,93784.0000000001,16068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109224,0,0,0,0,0,0,0,0,0,0,0,36232,0,0,0,0,0,0,808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5330,0,0,0,0,0,0,0,0,0,0,0,0,1519352,0,0,0,0,0,0,0,0,539260,0,165006
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron",0,0,0,0,0,0,0,102852,0,0,218368,0,0,0,0,0,47566,0,0,0,0,0,0,0,0,0,16216,229924,0,65614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290376,0,1882,0,0,0,0,0,0,0,0,45156,0,0,0,0,0,63986,285858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95222,910,127900,198774,120156,0,0,0,0,0,0,0,3140,395404,0,0,0,0,0,0,0,0,0,0,23812,0,0,0,0,0,0,0,0,0,0,0,0,0,214748,106288,0,0,0,110402,123094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77471.9999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1586,0,0,0,0,0,157892,0,0,0,0,0,0,0,0,0,0,0,0,0,4730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13786,0,0,0,315390,0,0,0,0,0,0,67360,0,0,0,0,0,0,0,0,0,0,0,0,0,65224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43662,0,0,0,0,13732,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis",3684944,0,0,0,3328,0,0,0,260354,0,0,382852,0,0,826336,0,448574,2263422,0,1181282,0,0,0,0,0,0,161888,0,162654,0,0,0,0,0,0,0,0,0,0,60786,0,131912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85710.0000000001,0,0,0,0,0,0,0,0,0,165062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310072,0,0,0,0,107440,0,0,0,0,0,0,233518,0,0,0,0,0,0,0,0,91807.9999999999,0,246234,0,0,121490,0,0,0,0,0,0,5578782,0,330752,0,426444,0,0,0,0,0,1097706,0,0,108008,0,0,3726,0,0,0,0,0,0,0,11486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487860,91581.9999999999,0,0,0,0,0,0,111744,0,73380.0000000001,0,0,0,0,0,445168,0,0,0,0,0,0,788227.999999999,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3176402,0,575892,99649.9999999999,31792,0,0,0,0,0,0,0,0,0,0,15598,0,12862,0,0,0,411916,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens",0,0,0,0,0,0,0,0,0,0,0,0,0,7246,0,0,0,0,0,0,0,0,0,458918,0,0,0,0,0,0,0,0,0,0,385166,0,0,0,0,0,0,0,0,12516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21418,0,0,0,0,0,1002,0,0,0,0,0,0,0,0,0,4506,0,14680,0,0,6270,0,0,0,0,0,14320,0,80614,0,12492,30264,0,0,8388,0,0,0,0,758586,0,7596,0,0,0,0,0,0,0,0,0,0,162488,0,0,0,0,0,0,0,0,0,0,0,0,0,632764,3956,0,0,0,0,0,0,0,0,1514,2778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3216,0,0,0,0,0,0,0,0,909804,0,0,0,0,0,0,0,871762,0,0,0,0,0,0,0,0,0,0,0,5210,0,0,6502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35340,0,0,0,0,0,0,36330,0,0,0,7070,0,20294,0,0,0,0,0,0,0,0,0,0,0,1458,0,0,0,0,21736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_vulgatus",2599914,2616898,65228,843008.000000001,4147988,68508,1921812,0,543880,2697340,0,2016732,0,331650,0,139648,1325744,2294728,2178810,2995950,3287688,40470,771878.000000001,0,85667.9999999999,517840,74528,1875856,89658.0000000001,1463020,759278,0,500966,1886874,1834222,648667.999999999,2775910,1359074,771338,43950,996952,0,0,493584,0,837158,342426,353328,4349048,0,0,0,0,781874,501344,634372,0,592896,514472,4186198,501850,627503.999999999,1106970,19016,41938,21832,0,2055268,3175454,0,704182,928262,1933620,0,926835.999999999,0,483296,2003698,506634,123496,0,129740,872252,3293902,1950342,600836,0,374842,0,511968,582558,0,3167606,123504,0,0,2920280,0,47914,1588778,0,884457.999999999,978448,1031294,1572624,565614,0,45286,480472,4237510,1606164,670234,1266678,96413.9999999999,2573718,0,42866,93556,894622,349892,0,415094,0,0,53922,788907.999999999,0,894646,474410,0,3211526,473050,2143016,890392,2400670,0,1209676,0,0,343840,389792,0,0,1949014,493218,3682978,178780,2055860,10880,0,0,0,80638,0,11236,761836.000000001,0,1605998,1813764,679374,847182.000000001,2440406,16672,6203218,0,3048,2264386,0,1078692,0,1266060,0,365748,2036,2223348,81391.9999999999,2283542,0,1198278,0,476224,3339796,3989438,0,0,4178,1668990,774886,1275344,2294326,0,1104830,0,1418228,232426,0,0,4562408,51218,1575134,102794,537548,5017784,0,0,67326,10558,61314,589998,0,191768,0,3652820,1200574,15864,948388,1281606,807770,2580,2004302,0,772235.999999999,1529312,14674,0,0,1108684,341526,6386704,1404066,97375.9999999999,0,63426,1630358,1260152,96627.9999999999,47730,1687756,0,19246,2085806,2280310,517110.000000001,69982,1394360,624842,3334,0,4130,340514,0,52340,0,32110,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_intestinihominis",0,0,0,0,0,0,30376,0,0,281294,0,48690,0,0,215952,0,0,0,0,0,0,15768,0,0,0,0,0,0,0,19572,0,0,0,82282,0,0,0,0,41078,14426,0,0,85029.9999999999,0,99504.0000000001,0,0,0,0,0,0,4652,0,0,0,16198,0,52116,0,0,0,0,100556,0,16328,0,0,0,0,0,0,0,50192,0,0,0,0,48356,0,0,276558,21384,0,0,0,0,0,0,51352,0,0,0,0,19336,0,0,0,0,0,0,0,0,0,0,2830,0,0,0,0,0,0,0,12684,0,0,0,0,0,0,0,0,356270,0,0,0,0,44904,0,0,0,0,0,79224.0000000001,473932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62212,0,0,0,87695.9999999999,40016,0,0,18354,0,0,0,0,0,0,56162,0,0,299392,0,44008,0,145628,0,0,0,0,0,122592,100936,144828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720872.000000001,0,156386,0,0,0,0,19144,0,0,61272,0,792631.999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38952,0,0,0,0,174640
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter_splanchnicus",0,0,0,0,0,0,0,108192,0,0,0,0,0,53440,0,0,0,0,0,73886.0000000001,71776,0,53162,0,0,0,0,91240,0,0,53770,0,0,0,0,0,26874,0,0,0,0,26262,0,0,40880,0,50582,0,0,0,0,0,0,50478,0,0,0,18576,0,0,0,0,0,0,0,0,101844,0,0,0,0,0,38506,0,22984,0,0,0,0,0,0,0,0,0,0,0,32008,0,0,0,0,145652,0,0,0,0,0,0,0,0,0,29816,0,0,0,0,0,0,126096,0,36022,0,0,30076,0,0,0,28050,0,0,0,0,0,41688,160114,0,0,0,0,0,20354,0,0,108650,0,0,0,30546,0,0,33690,0,21090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335154,0,0,0,0,0,0,338940,0,185148,0,0,0,82316,0,0,0,0,0,0,0,0,0,0,155174,0,0,0,0,191292,0,0,0,0,0,0,0,0,0,0,0,0,0,167588,0,0,0,55370,0,0,0,0,0,0,162224,0,0,0,0,0,0,0,0,0,7250,694820,0,0,0,0,0,0,0,0,18614,0,0,0,0,31232,0,0,0,0,44914,0,0,80601.9999999999,0,0,0,0,10344,0,0,0,0,0
