clade_name	ERR479322.txt_reads_count	ERR479324.txt_reads_count	ERR479392.txt_reads_count	ERR479150.txt_reads_count	ERR479158.txt_reads_count	ERR479268.txt_reads_count	ERR478996.txt_reads_count	ERR479052.txt_reads_count	ERR479404.txt_reads_count	ERR479321.txt_reads_count	ERR479205.txt_reads_count	ERR479195.txt_reads_count	ERR479325.txt_reads_count	ERR479393.txt_reads_count	ERR478974.txt_reads_count	ERR479082.txt_reads_count	ERR479102.txt_reads_count	ERR479326.txt_reads_count	ERR478992.txt_reads_count	ERR479034.txt_reads_count	ERR479033.txt_reads_count	ERR479381.txt_reads_count	ERR479288.txt_reads_count	ERR479064.txt_reads_count	ERR479408.txt_reads_count	ERR479265.txt_reads_count	ERR479129.txt_reads_count	ERR479203.txt_reads_count	ERR479130.txt_reads_count	ERR479413.txt_reads_count	ERR479287.txt_reads_count	ERR479297.txt_reads_count	ERR478964.txt_reads_count	ERR479206.txt_reads_count	ERR479204.txt_reads_count	ERR478975.txt_reads_count	ERR479323.txt_reads_count	ERR479414.txt_reads_count	ERR479091.txt_reads_count	ERR479379.txt_reads_count	ERR478960.txt_reads_count	ERR478997.txt_reads_count	ERR478990.txt_reads_count	ERR479263.txt_reads_count	ERR479109.txt_reads_count	ERR479017.txt_reads_count	ERR479394.txt_reads_count	ERR479272.txt_reads_count	ERR479159.txt_reads_count	ERR479003.txt_reads_count	ERR479016.txt_reads_count	ERR479045.txt_reads_count	ERR478959.txt_reads_count	ERR479289.txt_reads_count	ERR479264.txt_reads_count	ERR478962.txt_reads_count	ERR479341.txt_reads_count	ERR479267.txt_reads_count	ERR479134.txt_reads_count	ERR479157.txt_reads_count	ERR479000.txt_reads_count	ERR479401.txt_reads_count	ERR479110.txt_reads_count	ERR479274.txt_reads_count	ERR479378.txt_reads_count	ERR479275.txt_reads_count	ERR479063.txt_reads_count	ERR479197.txt_reads_count	ERR479099.txt_reads_count	ERR479043.txt_reads_count	ERR479286.txt_reads_count	ERR479296.txt_reads_count	ERR479198.txt_reads_count	ERR479342.txt_reads_count	ERR479294.txt_reads_count	ERR479131.txt_reads_count	ERR479135.txt_reads_count	ERR479196.txt_reads_count	ERR479133.txt_reads_count	ERR479081.txt_reads_count	ERR479014.txt_reads_count	ERR479079.txt_reads_count	ERR479015.txt_reads_count	ERR479035.txt_reads_count	ERR478995.txt_reads_count	ERR479167.txt_reads_count	ERR478965.txt_reads_count	ERR479271.txt_reads_count	ERR478966.txt_reads_count	ERR479269.txt_reads_count	ERR479403.txt_reads_count	ERR479152.txt_reads_count	ERR479036.txt_reads_count	ERR479080.txt_reads_count	ERR479168.txt_reads_count	ERR479108.txt_reads_count	ERR479339.txt_reads_count	ERR478991.txt_reads_count	ERR479391.txt_reads_count	ERR479047.txt_reads_count	ERR479320.txt_reads_count	ERR478961.txt_reads_count	ERR478958.txt_reads_count	ERR479107.txt_reads_count	ERR479048.txt_reads_count	ERR479092.txt_reads_count	ERR479319.txt_reads_count	ERR479041.txt_reads_count	ERR479001.txt_reads_count	ERR479160.txt_reads_count	ERR479046.txt_reads_count	ERR478963.txt_reads_count	ERR479101.txt_reads_count	ERR479405.txt_reads_count	ERR479340.txt_reads_count	ERR479402.txt_reads_count	ERR479380.txt_reads_count	ERR479407.txt_reads_count	ERR479050.txt_reads_count	ERR479270.txt_reads_count	ERR479295.txt_reads_count	ERR479002.txt_reads_count	ERR479273.txt_reads_count	ERR479132.txt_reads_count	ERR479042.txt_reads_count	ERR479153.txt_reads_count	ERR479128.txt_reads_count	ERR479051.txt_reads_count	ERR478967.txt_reads_count	ERR479406.txt_reads_count	ERR479100.txt_reads_count	ERR479266.txt_reads_count	ERR478993.txt_reads_count	ERR479049.txt_reads_count	ERR479044.txt_reads_count
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	3102.0	2928.0					13040.0			3248.0	181942.0			478970.0	402864.0		13184.0		167830.0			79932.0	109172.0	341398.0	517286.0			188652.0			100222.0			184030.0	183086.0	382670.0	4340.0		257112.0	75578.0		15184.0	163866.0		32032.0	121994.0	442192.0	156632.0		46232.0	124254.0			108616.0		1864.0	560.0		1326662.0		49672.0		27520.0	45170.0	82978.0	47406.0	264490.0				110478.0			662.0			1304640.0		1295384.0		117004.0		121720.0		10882.0	10520.0		154808.0							7594.0	28830.0	35256.0	147248.0			168070.0			34892.0		234168.0	203426.0		54564.0			2734.0	12270.0	513796.0	30820.0		71862.0	512286.0		139062.0		53150.0	167412.0	1338216.0						518418.0			156388.0		
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_SGB17154	3186.0	3368.0								2156.0					1248.0										8076.0											1260.0	3082.0																																380.0																																										922.0			7430.0				6424.0												6692.0					
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis	3290.0	506.0						63192.0	14304.0																												2818.0									8254.0				503012.0	5866.0										507282.0	14358.0								7506.0											4834.0		6796.0					352.0			13486.0																		495610.0							13518.0			51528.0			488098.0						58580.0						53028.0	5912.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	14320.0	14930.0	142318.0	715870.0		2012.0			76452.0	15624.0		193870.0	179694.0	12896.0	204992.0	1510.0		245704.0	35912.0			38792.0	51090.0	57092.0	107582.0	80866.0	3814.0		4102.0	210.0	49874.0	23290.0	2484.0			187868.0	13766.0		88.0	38364.0	694458.0		40270.0	81740.0		131964.0	11532.0	17050.0		54630.0	130228.0	21196.0	712220.0	50058.0	85662.0		20978.0	27954.0	18904.0		55442.0	85338.0		232570.0	36688.0	230280.0	39410.0	189596.0	23312.0	111504.0	49244.0	23312.0	193280.0	20946.0	21960.0	3390.0	18804.0	188400.0	18594.0	2236.0	132268.0	1146.0	133724.0			866.0	2238.0	23856.0	2290.0	18958.0	80794.0	727060.0		1576.0	380.0		748.0	39234.0	136370.0	18996.0		724578.0	743270.0		19540.0			73498.0	50928.0		19868.0		284.0	112542.0	1832.0	72350.0	39036.0	109962.0		22168.0	23444.0	54120.0	22998.0	19464.0	113228.0	714798.0	4306.0		2004.0	105236.0	23246.0	83226.0	38016.0		102018.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pullorum	5360.0	5190.0								5882.0										11236.0	14180.0																5246.0									3210.0					2846.0																														2948.0		4012.0	11796.0									12086.0																																										
k__Bacteria|p__Actinobacteria|c__CFGB2987|o__OFGB2987|f__FGB2987|g__GGB9359|s__GGB9359_SGB14334	19702.0	18384.0			369636.0			88048.0		18536.0	71762.0								54556.0				6136.0			24540.0		68956.0			5754.0			70892.0	67380.0		20482.0		18420.0				51904.0	25158.0		105862.0			364254.0		110710.0			5100.0	23400.0					359044.0									5404.0	98046.0	6218.0										113170.0		109204.0															53998.0								15796.0				368628.0									87844.0									93224.0			4514.0	25030.0	52950.0	88366.0	89266.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_SGB14861	43636.0	46664.0		10062.0				10320.0		47478.0				8792.0	21906.0	96460.0			7912.0			35636.0	59088.0	204588.0	235228.0	4358.0	392292.0		393212.0	962.0	62054.0	33810.0	9120.0			23314.0	45724.0	1176.0	3334.0	30688.0	99572.0		7134.0	4996.0	18626.0	80476.0	7328.0	1774.0		34294.0	79708.0	1320.0	103742.0	57868.0	5060.0			4950.0			33858.0		21080.0	50546.0	34278.0	48178.0	137880.0			145688.0	62194.0	33092.0			31934.0	390696.0				100592.0	85880.0	96060.0	85742.0			4630.0	7238.0	2834.0	7360.0	2322.0		7298.0		102462.0	2784.0	14888.0	1260.0	7980.0		1148.0		103280.0	104792.0	20384.0	926.0	2680.0		3588.0	36016.0		2308.0			235766.0	396.0		34062.0	222596.0	12748.0	2030.0	30368.0	33334.0	3186.0		5490.0	8176.0	395190.0	12590.0	7084.0	230074.0		3940.0	7588.0	10594.0	135482.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_SGB4121	14316.0	15060.0		4544.0				29420.0	3614.0	14654.0			12936.0				5930.0	18602.0		2152.0	5076.0						43006.0		40182.0								16920.0				4798.0					6774.0		1310.0			10266.0		7708.0		346.0							2832.0								58952.0						36902.0					5456.0		8488.0	4436.0				1066.0	782.0		2028.0	6920.0	2886.0									9012.0	8346.0					1100.0					1724.0			2672.0			31400.0				694.0		676.0	6424.0	41856.0	38554.0						30452.0	62120.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Enorma|s__Enorma_massiliensis	54570.0	60032.0								59108.0					21944.0	100622.0			3718.0				89586.0				49034.0		49242.0		86196.0					22086.0	61198.0				8170.0		4418.0			156620.0					154760.0		8228.0	85906.0																	92820.0					49558.0				99716.0	159444.0	101862.0	161124.0											102690.0				3446.0				7724.0	9176.0															178.0									47760.0						2728.0		
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthella|s__Eggerthella_lenta	12560.0	11400.0	11046.0	43002.0	104002.0			3502.0	8186.0	13666.0	12822.0	30034.0	14662.0			4504.0	124154.0	22330.0	3084.0	11956.0	12976.0						40810.0	13888.0	37794.0					13624.0	12984.0		16194.0						4926.0		40670.0	2590.0		19384.0	100008.0		3226.0									97268.0	444.0	10412.0	40244.0					28618.0	8796.0	18062.0			28826.0			37680.0		29212.0		4724.0	4308.0	4312.0	2668.0	10158.0				26686.0			8770.0	45116.0	11174.0	4840.0		36350.0		3232.0	10942.0					47578.0					1118.0	101348.0			133476.0			7456.0			5338.0	22620.0			27524.0			43172.0	36470.0	6868.0			8548.0		4124.0	4860.0	12994.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Gordonibacter|s__Gordonibacter_urolithinfaciens	780.0	798.0								100.0	3838.0						8906.0										214.0	1348.0	2268.0					1796.0	1334.0		718.0											6686.0									294.0												2482.0					286.0		1236.0												7766.0																									9338.0							7820.0			11740.0				1612.0				2490.0				
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae	302752.0	293258.0	193412.0	169276.0		3224.0		398258.0		297880.0	559200.0	201698.0		19970.0	66710.0		328888.0					74260.0			62440.0	20358.0	45838.0	589972.0	44174.0			123036.0	229724.0	561008.0	571500.0	62886.0	293424.0		52838.0	72924.0	77842.0			23534.0	137054.0	93074.0	14820.0	308260.0		259066.0	99704.0	39568.0	76386.0		20894.0	102568.0	14018.0	65180.0	3310.0		268068.0		139906.0	12152.0	77756.0	12232.0		197538.0	699972.0	1759346.0		123940.0	194750.0	12610.0	120788.0	41094.0	2920.0	188572.0	3814.0		102894.0		103852.0			10136.0	229342.0	342872.0	221348.0	56712.0		164958.0			5788.0	129394.0	87684.0		191856.0	34666.0		76472.0	79430.0	142870.0	38416.0	47802.0		63956.0	267564.0		40218.0	92208.0	321180.0	59218.0	73810.0		74662.0	65908.0	413700.0	329744.0	123594.0	266356.0	351708.0	3714.0	89116.0	162632.0	42976.0	411786.0	217406.0	63730.0	654862.0	20618.0		411894.0	1611330.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus	1230308.0	1250712.0			10552.0	6046.0	845308.0	1881536.0		1225226.0	1546300.0		990472.0					1271860.0	187510.0				9738.0				102.0	1589028.0			10104.0			1589690.0	1574396.0		1275104.0		477724.0		22016.0	854384.0	187694.0		143118.0	293758.0		516178.0	9392.0	28764.0	304184.0	12988.0	24022.0	7646.0		6622.0		90236.0	11214.0	10310.0	27742.0		149948.0						240486.0	64452.0	10198.0						11852.0		9152.0		288772.0		301886.0		836936.0	23610.0	320.0	551584.0		75776.0					17612.0	133070.0	52284.0	187384.0		13614.0	7198.0	20252.0	24406.0	153634.0	17592.0	386908.0	8220.0		29518.0	8564.0	16942.0	4826.0			47486.0				1888172.0	584368.0		28828.0	578348.0	10978.0				1936852.0			239030.0		185666.0	1922156.0	63920.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis	1084932.0	1120196.0			926.0		39370.0	357036.0		1131976.0		542756.0		57780.0																							1135656.0		79042.0		148890.0	44508.0			55986.0		55694.0		936.0				163704.0							702.0			59686.0	8738.0		9616.0		539752.0					570150.0					559982.0							35416.0	160446.0									115992.0	47746.0						159242.0	160882.0	54468.0		70554.0				834.0									365292.0									369310.0						350644.0	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis	290366.0	290344.0		787156.0				36168.0	5392.0	283996.0	85354.0		576450.0		22114.0	6900.0		775364.0	11796.0	960830.0	997714.0		22242.0		38392.0		14242.0	85662.0	12696.0		15408.0	1462.0	183472.0	71920.0	83110.0	18282.0	292066.0				19182.0		12976.0			56166.0		347904.0		338874.0	55486.0		20672.0	18418.0			17836.0				337696.0	5832.0							72404.0		18816.0	1788.0		19124.0	854.0	10048.0				9264.0	59256.0	11614.0	52276.0	994762.0			179160.0	364578.0	187998.0		7950.0	777734.0	984996.0	9988.0				16756.0				21820.0	19484.0					217994.0	322152.0					37360.0		5236.0		36054.0	31646.0	360226.0	990.0	323866.0	366802.0		306944.0	793670.0	12664.0	32154.0	181676.0	38372.0	77924.0		11728.0	34430.0	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_nordii	17840.0	17816.0			2798.0		235932.0	40792.0		17674.0	104736.0																	98766.0					4092.0	107988.0	109118.0		21030.0					259698.0				11294.0		63778.0	1700.0	3810.0	10026.0					8854.0			50810.0	3540.0	3400.0									28388.0							49682.0		49454.0		10906.0		9938.0		251772.0		3492.0	62584.0	1668.0												470.0								1590.0	3456.0		9076.0							49402.0	64916.0		2246.0	65800.0	47992.0				47530.0	4104.0					42990.0	26358.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus	122678.0	122356.0	21920.0	398474.0	643686.0		8254.0	161086.0	84816.0	121530.0	168042.0	981746.0	658410.0		17692.0		221850.0	865800.0	174558.0	34940.0	34032.0		377342.0			45246.0	50164.0	177642.0	46482.0	25970.0	353546.0	23408.0	168050.0	169928.0	170708.0	13776.0	108312.0	23188.0	43496.0		321522.0	12380.0	197912.0	38826.0	320584.0	9756.0	2222.0	389972.0	630410.0	12864.0	15482.0	264880.0	302810.0	346052.0	45736.0	97320.0	37374.0	17006.0	103898.0	639466.0	16972.0	102946.0	313514.0	6894.0		8994.0		1007014.0	778614.0	324048.0	366480.0	28190.0	1052204.0	36290.0	27892.0	47470.0	96664.0	962874.0	110326.0		13834.0		19452.0	36806.0	4548.0	42902.0	156908.0	438538.0	156268.0	16278.0	75382.0	427376.0	40794.0		34138.0	292246.0		195730.0	14480.0	266838.0		319334.0	320894.0	286632.0	265710.0	49670.0		2844.0	9854.0	651524.0	275558.0	94722.0	230044.0			104002.0			174540.0	400482.0	24610.0	16360.0	417710.0	115514.0	3948.0	381394.0	47462.0	166462.0	150582.0		734840.0	41662.0	201270.0	155716.0	280554.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron	105940.0	104484.0	348638.0	132902.0	5469112.0		99336.0	102852.0	62310.0	106508.0	218368.0			1792.0	66970.0	998.0	47566.0		381242.0					164156.0			16216.0	229924.0	17390.0	65614.0			125142.0	220204.0	212192.0	63346.0	106306.0	60588.0			16528.0	95306.0	399712.0		290376.0	43454.0	1882.0	177674.0	5436320.0	20488.0	46148.0	756.0	16094.0			45156.0	16324.0	2048.0	105004.0	5423650.0	26884.0	63986.0	285858.0				118634.0			449900.0				19114.0		14066.0	106694.0		116520.0	1968.0	42294.0		48376.0		95222.0	910.0	127900.0	198774.0	120156.0	890.0	63278.0	138988.0		758.0		273568.0	3140.0	395404.0	347956.0		23986.0	16500.0	17472.0	300376.0	3756.0		30646.0	375294.0	23812.0	5443900.0	1332.0	41680.0	47978.0		502.0	52120.0			102180.0	193866.0		27518.0	214748.0	106288.0	509050.0	136960.0	14530.0	110402.0	123094.0				398012.0	110474.0	418318.0
