clade_name,DRR127488,DRR127524,DRR127532,DRR127535,DRR127537,DRR127546,DRR127552,DRR127583,DRR127588,DRR127596,DRR127597,DRR127613,DRR127616,DRR127619,DRR127628,DRR127634,DRR127649,DRR127672,DRR127683,DRR127692,DRR127704,DRR127707,DRR127713,DRR127721,DRR127724,DRR127728,DRR127731,DRR127736,DRR127737,DRR127748,DRR127751,DRR127752,DRR127755,DRR127756,DRR127762,DRR127763,DRR127776,DRR127777,DRR162775,DRR162776,DRR127476,DRR127478,DRR127481,DRR127485,DRR127491,DRR127507,DRR127509,DRR127514,DRR127515,DRR127517,DRR127519,DRR127521,DRR127536,DRR127557,DRR127559,DRR127567,DRR127579,DRR127580,DRR127594,DRR127603,DRR127617,DRR127625,DRR127638,DRR127646,DRR127647,DRR127666,DRR127669,DRR127674,DRR127685,DRR127700,DRR127708,DRR127718,DRR127720,DRR127754,DRR127767,DRR127774,DRR127789,DRR162777,DRR162778,DRR162779
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Nitrosopumilales|f__Nitrosopumilaceae|g__Nitrosopumilus|s__Nitrosopumilus_SGB14899,0,0,0,848,0,0,0,0,0,0,9592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5852,0,0,0,0,0,0,0,0,0,0,0,0,0,38648,0,0,0,0,0,0,0,0,0,0,10182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis,82120,5242,0,1043478,156048,0,0,0,228290,0,96638,636,2782892,0,0,1915606,367534,0,0,227996,0,98498,0,0,0,0,1309772,0,168250,7282692,0,15064,0,136,10802,0,0,2948718,68978,1089710,50184,0,0,239122,182940,0,170296,251208,1965374,24988,0,54878,0,0,364136,0,0,5036,307606,110144,21158,241474,0,5261642,0,39842,0,0,231086,201490,360214,0,0,602550,6365318,0,143522,0,363984,4892
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum,1394,0,0,432502,7304762,0,526314,0,275952,165758,23998,36352,2386,443254,227600,936264,398718,0,0,220262,117312,83164,0,5196,358,619862,1417670,1121400,3530,1060736,9277228,104816,1177820,37944,6708,280124,22225894,1428464,37122,54418,194264,150054,212996,196278,144338,1580,356904,386078,527216,112592,50800,792908,979030,29350,3898,0,2762216,55736,226386,13846,55908,118238,380364,1626948,0,41144,297866,450204,36346,88408,4658,0,15034,473848,438048,20950,308016,542106,268290,7466
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum,83614,0,28690,566488,4713480,0,567862,0,210430,18312,6624,0,0,0,571156,0,38070,0,0,0,0,273252,0,0,0,0,1333938,0,7108,1747128,15079412,0,0,8256,11412,91732,0,639880,4448,0,17960,0,0,0,582998,0,0,0,379810,252690,0,0,0,11424,0,0,0,0,0,28068,0,0,0,3544,1375386,0,195454,0,0,77740,0,0,173440,244,32128,0,274388,2726328,256176,0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Sanguibacteraceae|g__Sanguibacter|s__Sanguibacter_SGB15121,0,0,4048,17460,0,50914,0,0,37396,0,15040,47688,132038,0,34700,0,18690,0,4794,0,22480,0,0,0,0,0,0,0,0,0,0,0,744,0,0,0,0,34960,0,0,338028,0,0,79796,0,0,0,0,548388,0,0,0,89674,8944,0,0,0,44076,0,0,65386,0,24352,0,0,14212,0,63670,0,89770,0,0,0,0,429294,0,64016,0,0,0
k__Bacteria|p__Actinobacteria|c__CFGB2987|o__OFGB2987|f__FGB2987|g__GGB9359|s__GGB9359_SGB14334,0,0,0,11652,0,0,0,0,0,0,27694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171802,0,0,0,0,0,0,0,0,556686,0,0,0,0,101044,0,33414,0,61418,27788,0,0,0,0,0,0,90252,0,0,0,0,0,0,0,185636,0,0,0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_SGB14861,73906,44362,0,19704,0,116746,0,21152,0,0,567722,0,0,0,0,297824,90016,0,0,61100,0,0,0,0,0,0,481224,0,0,0,0,0,0,0,54346,117944,0,50372,0,0,275294,0,0,346564,3126,0,0,0,0,21090,0,0,0,63334,324194,0,0,455626,13240,84814,58176,62722,0,109224,0,0,0,3458,65928,551530,17954,0,0,0,538058,45578,6702,0,0,0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_SGB4121,0,0,0,21320,93258,59890,0,0,0,4206,19618,16904,0,38406,0,0,0,27736,8634,0,26652,0,36510,56820,0,2746,166098,26548,0,0,361370,53150,0,47088,0,22312,1880,143140,27182,17604,0,69234,12966,0,3100,27938,58890,26252,54244,0,0,6186,5346,20900,23370,0,0,0,0,0,9114,0,12610,0,24056,0,77410,48152,111840,19202,0,0,0,67260,0,0,0,38792,50320,64296
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens,0,17764,569682,344788,1124194,20700,0,0,223678,273660,16888,94340,559616,0,136802,401330,67400,0,0,83012,153080,695284,0,16522,0,0,0,0,93288,0,0,261448,254522,200920,30118,79368,0,946886,59572,227828,124922,0,529410,140354,142254,119852,519306,44046,2372726,105668,0,851058,0,25510,12498,45144,0,63830,632702,246092,112452,33718,159950,282688,0,43130,126034,0,187634,337478,39010,3682,149728,965462,1494308,393538,151992,311478,266116,285944
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens,58168,0,0,18562,0,10388,0,0,0,0,18576,0,17800,0,15634,32020,0,39586,0,0,34734,0,0,0,0,8944,0,0,0,498,0,0,0,0,0,12734,0,52782,0,0,0,103086,22878,10142,7188,0,0,0,1002,0,0,0,37552,1324,0,0,0,0,0,54204,0,19430,0,47690,0,0,0,0,48878,1548,0,0,0,0,73444,24890,0,0,51196,0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthella|s__Eggerthella_lenta,0,0,62564,4568,238758,10728,138902,62540,19908,0,0,42948,5610,4642,20252,0,5262,29150,6992,0,62088,182806,3696,0,291648,2146,62184,61932,0,33166,101592,1666,5134,368386,0,0,185020,78530,14936,51138,40576,254568,34908,0,0,22564,140524,33842,76978,55006,373514,581064,430520,0,0,29266,77220,67228,42402,0,4900,0,0,1062,91134,538,127986,31774,7904,9116,454,3418,14166,63684,84988,24252,11450,137504,11686,227856
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae,0,0,2188886,123428,0,0,0,1238890,0,16282,363388,437162,0,0,1493748,1830120,0,0,0,0,0,0,0,571536,0,0,0,0,936272,220776,0,530328,0,0,163874,370166,0,0,0,0,0,3170300,3625566,593134,132652,0,0,0,0,0,561504,2929506,4380986,555852,2238560,132456,0,0,1165528,0,286102,703732,2580826,0,0,125812,0,1811966,0,802176,0,0,0,246830,198818,919712,814220,1404714,453530,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus,825324,1858,869446,2072,0,0,0,0,0,0,12880,23300,0,0,0,0,912452,0,0,0,0,894346,0,0,0,28640,0,0,0,0,0,124964,106730,0,1364384,59102,0,111132,0,440096,0,20444,19781410,0,0,0,34268,186160,4823710,1460154,0,0,0,0,16070,50050,0,0,1308,25958,0,0,0,171110,0,9374,2391484,0,0,215552,84748,0,2173362,7648,400576,0,21346,0,9684166,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_eggerthii,0,17080,0,7506,0,0,0,0,0,0,0,5052,0,0,0,6099520,6012,0,0,0,0,0,0,429402,0,0,0,2685340,0,0,0,69708,0,0,0,0,0,0,1069908,0,0,0,0,0,265122,0,1960878,0,589562,1805334,0,0,2030106,3246268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,29208,0,0,8378,234734,1208618,0,0
