,SID31004,SID31009,SID31021,SID31071,SID31112,SID31129,SID31159,SID31160,SID31188,SID31219,SID31223,SID31236,SID31237,SID31267,SID31276,SID31285,SID31300,SID31328,SID31333,SID31343,SID31360,SID31367,SID31379,SID31416,SID31428,SID31446,SID31450,SID31452,SID31489,SID31493,SID31512,SID31519,SID31537,SID31549,SID31557,SID31637,SID31685,SID31700,SID31711,SID31714,SID31723,SID31749,SID31750,SID31766,SID31865,SID31866,SID31868,SID31870,SID31871,SID31872,SID31873,SID31874,SID31875,SID31876,SID31877,SID31878,SID31879,SID31880,SID31881,SID31883,SID31884,SID530050,SID530052,SID530055,SID530074,SID530075,SID530119,SID530154,SID530163,SID530167,SID530177,SID530215,SID530227,SID530251,SID530258,SID530295,SID530315,SID530331,SID530364,SID530368,SID530373,SID530394,SID530444,SID530451,SID530890,SID531128,SID531155,SID531248,SID531274,SID531277,SID531281,SID531333,SID531352,SID531361,SID531382,SID531414,SID531416,SID531424,SID531469,SID531766,SID531775,SID532749,SID532779,SID532796,SID532802,SID532826,SID532915
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii,5557520,3426422,3703353,6735145,216472,1293365,79048,6062916,3146853,5728387,688926,3563471,3194326,5217003,4382294,2987991,4070395,7249092,4113441,471337,2378211,478702,6397027,89657,3290,1850652,476780,1344534,694690,763667,1822454,4284166,451563,1427650,0,46276,155971,6984358,1509,568759,399515,7246425,1723674,2631373,265421,575488,2420043,197399,3099199,458079,436350,2666100,8242555,1373618,5903655,7151598,1027312,1025831,1106177,3877065,415542,2125883,19287,5105628,162950,1787542,1263805,133828,825981,1064749,877411,3743425,274998,446,3020192,2840963,1813815,2032744,1741384,326631,2663596,4486508,750451,4330262,5941010,3845493,3669355,2119058,99437,6447911,352017,158957,1393852,2896207,2817524,6732142,567992,13106,732290,3342270,2222350,25743,9615275,3517206,7589763,857084,752338
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius,4501905,91870,106369,136315,138692,25037,37884,49754,23833,69084,3001,23373,43592,52678,46453,21031,162223,1663354,36315,0,8164,876629,4208034,56506,31860,90312,1641,354365,23765,167105,23620,143794,3352842,28623,1327464,96270,3649,591433,200008,104801,11919,117612,155147,72977,124080,663625,142698,37693,25714,108700,16473,13399,842,30840,22764,5263,4564,614993,78781,165319,14131,3732140,32627,2690,54752,84732,590137,1167587,1414902,957430,64787,98652,0,80312,1041346,18821,186943,21889,21644,470058,322104,47115,191994,1043953,441126,415407,105937,548764,263888,31956,2546355,69597,19891,40028,0,21188,10562,103009,231393,1025,106145,99900,0,87999,37337,219979,5608
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus,3379283,4992315,5022513,1595369,2541382,505191,251986,6881693,1825330,1256206,1169108,1608455,987484,1408166,1410709,370640,3064205,2006715,693554,288121,4455304,198644,1980601,12861272,33213498,1342835,0,465595,787712,1315061,807323,1091898,6820621,1540713,1428997,4025832,2933233,281222,21163952,3152858,21764579,3465363,1206416,2105388,2035901,1089352,554817,12469266,3005952,5448,212920,65870,842649,493391,1628717,91468,194003,650719,4012836,462353,395043,1161832,6426079,1134307,3515104,35395,2405278,5335449,4628366,2270809,7511123,519114,35857582,3089843,2134542,2961880,2898379,2614450,1183355,2854979,264792,479877,1490747,171185,804328,567544,3517476,63961,15220,1047629,377649,5763945,372251,99542,4635,1331213,3386793,81593,1626526,1844851,3700313,1543329,280412,1786383,69820,4016101,327141
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris,2134734,0,7228,33915,0,0,87189,0,0,194503,0,0,12059,3011,1585,0,712341,0,28340,0,285696,7167,0,0,1618,0,0,0,33773,31709,0,3671,0,19759,0,0,9177,73699,0,0,0,0,0,0,0,791,235107,93691,0,197,0,715,0,0,713456,96124,13412,0,7670,1153979,23437,336671,2445,0,3914,0,75877,0,0,17291,9281,0,2244,0,7725,12355,0,0,340657,1476,0,0,1299,21476,3552755,172159,26766,142367,12141,0,214514,826,0,0,23628,867730,2034358,222397,2854,0,1709,805176,0,693078,1464,1417,0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens,1875111,2436224,1626225,4128586,9975259,11905273,5325756,2225724,1774026,1456502,1665342,2542581,4421494,4057839,1980731,3852851,1092690,4167476,4147613,1383,3688742,1399408,2391955,1261,2117,408748,9165271,626634,3786019,8180722,5926,882578,382897,5216558,6173,6257,3386375,5274019,2879,4406977,934490,5734578,3086656,304,8252,58056,456712,4572087,4205750,4450513,4366804,540711,1499154,879260,640320,961540,4060811,229446,4393623,48078,3425500,2297973,4863451,1330543,1403,2586928,5343924,0,4167165,798232,1518,3602197,1362,383,3297656,1696768,10784075,81279,5545306,5273632,0,764933,9227683,1830604,3445352,3296751,1288621,368575,39577,2436042,809347,15611,3762696,232915,42228,2891,83919,321471,5718,627710,1405,3603823,199725,431756,718752,0,1672354
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum,1600270,1566408,2537241,3397989,0,235387,305501,0,13001,2258960,702524,2901899,2058565,1691316,45807,1312,1696835,480312,5079556,16263703,1833726,346766,1142082,4199333,890,61960,63480,3141842,1343676,654535,1095541,438588,3699456,111145,3996841,1056943,2393874,3337666,0,4259738,695367,2802408,1797770,0,1244466,21083,316414,4129919,2389327,13247866,1029652,714363,585181,834572,29528,296347,5243406,718229,3439309,489514,7088862,1534271,4997170,1336343,15269488,350951,1679762,0,609113,614130,211945,1432648,1060404,0,2578638,373,1655390,0,1689186,8482984,4053592,0,3987440,2960,993915,1962352,1062659,54396,79335,1586690,5093078,37226,2613686,1376,705589,3129573,1489698,24576,2467,305828,486,812615,96126,248269,279694,1684972,1357404
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_plebeius,1543442,0,0,0,0,0,0,97271,0,0,32907,180670,5946,0,0,0,0,0,0,0,0,0,0,0,962,6737,0,0,0,2051,0,149391,0,0,0,0,12583,348593,0,0,0,0,0,0,0,9616,88445,0,0,0,0,0,0,0,0,499612,0,0,14920,0,0,0,0,0,0,0,0,0,0,120179,0,0,0,0,0,0,9735,0,0,0,0,0,0,4773,0,0,0,0,0,0,0,0,0,200600,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus,1537307,5130,342887,505050,185787,21186,5832,169470,1242874,234352,213972,549024,13852,75316,429250,2759,1584759,989269,330488,517932,851437,242810,627655,50880,487,13742436,3858873,220695,36519,224088,102790,806125,883,337095,23608,6540,405337,375498,0,0,487006,411164,697192,120570,86290,1394335,998755,679,111063,536851,1224865,7547577,953604,3427765,7863513,1435303,63877,10772048,1791856,11754570,739853,1472335,5913,188783,38394,123425,471537,37478,147484,1573788,0,65656,0,17773,187824,225478,762,1336,134912,0,1791,1998,3825,35500,120067,794841,312930,1040783,179391,5140857,31257,560167,1643792,1041793,518178,2740908,617487,37768933,7970206,25248,322416,711,5069185,1689628,1446617,276392,994689
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena,1522662,2955614,776326,2728683,0,4094949,1627956,2372220,3513680,1120321,4848,762,11104088,2238783,1366064,1109040,737700,783508,1477385,211165,312909,581260,4812972,14267879,989677,1364070,669103,270837,2635615,6099769,1755029,760275,0,4645472,444185,1453294,682742,2729567,0,2317974,51643,1164529,930124,2079276,12378,1642678,628521,2562208,1823925,1467476,916712,464849,848308,140061,1336,631536,791764,358922,763992,14694,449421,1053980,1700031,1050251,1363655,1302063,1727769,0,2352331,255456,671150,1502748,108677,0,1267095,658050,1772252,570162,668960,1518924,0,764600,5599409,456348,1817032,287004,2483955,227721,4150,1735872,1714397,1690860,800713,261540,1888,591979,2582808,92239,368966,102633,579732,0,65205,244578,520127,0,310554
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_251,1487988,0,1438210,3906722,0,0,0,43049,905067,0,0,3129171,3734697,1296943,2017138,0,0,0,0,86658,0,0,0,0,1359,0,0,2268851,3838943,0,0,5926843,0,14993,0,0,0,0,6976,353051,487894,627527,1254773,0,0,2438,746,10993,0,0,0,411670,0,0,405724,1320,0,0,0,4445,0,1257650,646967,0,0,496013,1609949,1811663,531506,4822491,1504793,0,0,0,0,1629301,0,1075522,0,0,0,0,2713269,0,750,0,0,0,0,0,134,0,1633831,0,0,0,0,0,0,0,0,0,489494,0,849938,0,0
