clade_name,SRR5903379,SRR5903386,SRR5903367,SRR5903381,SRR5903351,SRR5903340,SRR5903346,SRR5903327,SRR5903347,SRR5903352,SRR5903363,SRR5903384,SRR5903362,SRR5903366,SRR5903323,SRR5903371,SRR5903360,SRR5903380,SRR5903350,SRR5903330,SRR5903374,SRR5903378,SRR5903361,SRR5903368,SRR5903334,SRR5903333,SRR5903370,SRR5903365,SRR5903373,SRR5903325,SRR5903383,SRR5903354,SRR5903331,SRR5903375,SRR5903385,SRR5903328,SRR5903322,SRR5903343,SRR5903353,SRR5903357,SRR5903336,SRR5903338,SRR5903324,SRR5903344,SRR5903355,SRR5903345,SRR5903358,SRR5903335,SRR5903372,SRR5903356,SRR5903326,SRR5903377,SRR5903342,SRR5903376,SRR5903329,SRR5903321,SRR5903369,SRR5903364,SRR5903337,SRR5903341,SRR5903382,SRR5903332,SRR5903349,SRR5903339,SRR5903348,SRR5903359
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_SGB4121,1434,131726,0,3732,0,1408782,8626,4126,196226,50968,77582,0,31352,8974,29484,67094,0,6838,859062,0,187134,10464,0,272030,42554,0,302970,0,0,462,46148,154518,149446,0,294430,4416,0,67406,0,24330,0,7694,0,0,0,470,176584,67354,0,26942,12538,28710,215540,0,50894,1712474,105578,44714,0,0,0,48186,0,0,93816,50808
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens,134764,50782,940,7744,13178,1295280,0,9322,258586,39338,4954,7864,0,0,52044,8554,21020,0,1949916,0,660834,1764,18388,9154,42562,11464,73514,0,0,133106,0,160386,68272,15044,99966,0,11696,30892,0,61196,9034,16164,0,0,22716,0,46210,44598,10448,0,0,56528,83482,0,0,1528668,5962,31390,0,23222,0,0,23106,0,72498,41182
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthella|s__Eggerthella_lenta,55236,758548,0,2940,0,120908,438812,226,36264,32470,18468,30654,0,0,94990,4380,0,324296,406326,462282,152082,59018,31406,96126,28168,34528,22680,52296,13774,61762,788,19384,14138,4166,325428,211298,0,18422,0,825984,28056,14566,77710,0,34304,0,21918,47620,0,0,49844,106108,266522,200880,198,152014,662928,29524,9726,0,638542,0,0,11056,33704,19692
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Enteroscipio|s__Enteroscipio_rubneri,63384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12824,0,0,0,0,0,61928,0,0,0,4926,21878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17982,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__GGB45432|s__GGB45432_SGB63101,30978,289408,0,15106,10860,289972,398,13888,36044,15460,45118,11974,0,0,0,3910,2752,590,446494,0,55094,42458,26622,152592,4810,47146,52644,0,30352,32170,0,16326,56558,672,360422,0,2802,51912,12542,354752,9658,0,0,22522,29530,0,63886,30182,0,0,40544,0,312748,0,0,380290,189148,13122,2420,9096,0,0,6602,0,36570,15604
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Gordonibacter|s__Gordonibacter_urolithinfaciens,50852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,5406,0,0,22664,1092,0,0,0,0,43646,0,0,0,1640,97648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75648,0,0,0,0,0,0,0,0,0,0,0,18390,10792
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Raoultibacter|s__Raoultibacter_timonensis,3796,0,0,0,0,0,0,0,1258,0,0,0,0,0,0,0,0,0,0,0,17326,0,0,0,0,0,0,0,0,8028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae,36320912,9904924,10834530,0,0,819694,880282,0,9700332,1910322,6439706,48379700,1265740,0,36546,0,1882844,5699672,61364,0,2458418,15197826,803726,948682,183998,72756,9933460,0,6260,32130862,0,7732496,12876704,7916120,5062614,5020962,0,5218894,174760,7751366,43547246,0,0,171554,1035412,0,8694160,0,724938,1201012,14724838,0,4553364,0,0,632836,2723618,1896924,3230718,0,0,251082,2704546,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis,242590,32918192,0,1898390,0,6192,0,1402554,152806,316662,0,0,0,993200,0,0,7310,0,0,0,9186,4834862,0,0,19834,0,0,0,0,231224,4816856,103870,0,44336,0,0,12062,0,0,6913202,0,0,3902724,0,0,359572,0,0,0,0,4572928,0,0,5624902,4380622,3094,6122422,304608,877498,13714,0,0,10346,1022520,228532,261344
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus,13619052,3634378,0,4790974,29820,1345960,1874324,4023586,8213304,23045258,8460714,0,544438,386900,1668,63282,0,8851902,12824,0,441204,0,624032,0,2465990,32928,1569122,0,99444,14752418,2145556,4782234,6008304,3095600,0,7383302,944702,7613300,2536560,5816672,0,0,0,2998996,723818,879576,6063492,3020,0,557030,0,722,0,0,1671098,696418,166636,21062708,0,1177242,0,74916,0,0,1970016,1888824
