phenotype,taxonomy rank level,NCBI taxon id,scientific name,super kingdom,Nr. runs in which the species/genus can be found,mean relative abundance,median relative abundance,SD of relative abundance
D011236,species,546,Citrobacter freundii,Bacteria,1,0.30276,0.30276,
D011236,species,550,Enterobacter cloacae,Bacteria,2,0.02317,0.02317,0.00854185
D011236,species,562,Escherichia coli,Bacteria,12,0.298669167,0.06377,0.484163724
D011236,species,573,Klebsiella pneumoniae,Bacteria,1,0.17899,0.17899,
D011236,species,729,Haemophilus parainfluenzae,Bacteria,5,2.890198,0.32479,6.05798014
D011236,species,732,Aggregatibacter aphrophilus,Bacteria,1,0.05041,0.05041,
D011236,species,739,Aggregatibacter segnis,Bacteria,1,0.00239,0.00239,
D011236,species,817,Bacteroides fragilis,Bacteria,4,0.590015,0.62568,0.465993526
D011236,species,818,Bacteroides thetaiotaomicron,Bacteria,19,2.242304737,0.13363,6.675841977
D011236,species,820,Bacteroides uniformis,Bacteria,25,10.2490388,5.96972,10.94870526
D011236,species,821,Bacteroides vulgatus,Bacteria,23,2.327192174,0.56727,3.808706491
D011236,species,823,Parabacteroides distasonis,Bacteria,18,1.345936667,0.67702,2.132767517
D011236,species,847,Oxalobacter formigenes,Bacteria,4,0.0303225,0.010815,0.045001381
D011236,species,851,Fusobacterium nucleatum,Bacteria,1,0.0013,0.0013,
D011236,species,853,Faecalibacterium prausnitzii,Bacteria,22,2.446847273,1.63808,2.607233535
D011236,species,876,Desulfovibrio desulfuricans,Bacteria,1,0.42233,0.42233,
D011236,species,1254,Pediococcus acidilactici,Bacteria,1,0.0884,0.0884,
D011236,species,1260,Finegoldia magna,Bacteria,3,0.003403333,0.00337,0.000680612
D011236,species,1264,Ruminococcus albus,Bacteria,1,0.0007,0.0007,
D011236,species,1280,Staphylococcus aureus,Bacteria,1,0.01079,0.01079,
D011236,species,1302,Streptococcus gordonii,Bacteria,2,0.01264,0.01264,0.014778532
D011236,species,1304,Streptococcus salivarius,Bacteria,21,0.575841429,0.04201,1.603568789
